"Property Name",,"cs","Node Path","Description"
"Caption","User Name","Uživatelské jméno","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\UserName",
"Caption","Modified On","Modified On","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\ModifiedOn",
"Caption","Operation Type","Typ operace","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OperationType",
"Caption","Description","Popis","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\Description",
"Caption","Old Value","Stará hodnota","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\OldValue",
"Caption","New Value","Nová hodnota","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\NewValue",
"Caption","Property Name","Jméno vlastnosti","BOModel\DevExpress.Persistent.BaseImpl.AuditDataItemPersistent\OwnMembers\PropertyName",
"Caption","Audited Object Weak Reference","Audited Object Weak Reference","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference",
"Caption","Audit Data Items","Položky auditu dat","BOModel\DevExpress.Persistent.BaseImpl.AuditedObjectWeakReference\OwnMembers\AuditDataItems",
"Caption","Base Object","Základní objekt","BOModel\DevExpress.Persistent.BaseImpl.BaseObject",
"Caption","User","Uživatel","BOModel\DevExpress.Persistent.BaseImpl.BasicUser",
"Caption","User Name","Uživatelské jméno","BOModel\DevExpress.Persistent.BaseImpl.BasicUser\OwnMembers\UserName",
