"Property Name",,"ru","Node Path","Description"
"Value","Cannot set EditMode property. GridControl has been created already","Не удается установить свойство EditMode. GridControl уже был создан","Localization\Exceptions\SystemExceptions\GridControlIsAlreadyCreated",
"Value","Incompatible parameters combination. The PopupWindow has the same ObjectSpace as the main View.  However, the SaveOnAccept property of the Popup Window's DialogController is set to true. Use a new ObjectSpace for the invoked Popup Window or set the DialogController. SaveOnAccept property to false.","Несовместимые сочетания параметров. PopupWindow имеет тот же ObjectSpace как основной View. Тем не менее, cвойство SaveOnAccept DialogController'а всплывающего окна имеет значение True. Используйте новый ObjectSpace для всплывающего окна или установите свойство DialogController.SaveOnAccept в False.","Localization\Exceptions\SystemExceptions\IncompatibleParametersCombinationOnViewChanged",
"Value","The passed config file '{0}' doesn't contain the '<add key=""Modules""' node","Переданный конфигурационный файл '{0}' не содержит элемент '<add key=\""Modules\""'","Localization\Exceptions\SystemExceptions\IncorrectConfigFile",
"Value","Infinite recursion detected: the '{0}' detail view was created {1} times","Обнаружена бесконечная рекурсия: \""{0}\"" DetailView был создан {1} раз","Localization\Exceptions\SystemExceptions\InfiniteRecursionDetected",
"Value","Invalid application version on '{0}'","Неверная версия приложения в '{0}'","Localization\Exceptions\SystemExceptions\InvalidApplicationVersion",
"Value","Invalid value type is assigned to the '{0}' parametrized action. Set the Int, String or DateTime type instead.","Недопустимое значение типа присваивается параметризованному действию '{0}'. Используйте тип Int, String или DateTime.","Localization\Exceptions\SystemExceptions\InvalidParametrizedActionValueType",
"Value","The {0} object's {1} property has an incorrect value of {2}. Initialize the property with a correct {3} enumeration value in the {4} business class' AfterConstruction method.","Свойство {1} объекта {0} имеет некорректное значение {2}.Инициализируйте свойство корректным значением перечисления {3} в методе AfterConstruction бизнесс класса.","Localization\Exceptions\SystemExceptions\InvalidValueOfEnumProperty",
"Value","'{0}' is not valid namespace prefix description","{0}' является неверным описанием префикса пространства имен","Localization\Exceptions\SystemExceptions\IsNotValidNamespacePrefixDescription",
"Value","It's imposible to find path='{0}' for node '{1}'","Невозможно найти путь '{0}' для узла '{1}'","Localization\Exceptions\SystemExceptions\ItsImpossibleToFindPathForNode",
"Value","It's imposible to find SourceNode='{0}\\{1}'","Невозможно найти SourceNode '{0}\\{1}'","Localization\Exceptions\SystemExceptions\ItsImpossibleToFindSourceNode",
"Value","Incorrect count: '{0}'","Неправильное количество: '{0}'","Localization\Exceptions\SystemExceptions\LayoutControlInvalidCount",
"Value","ListEditor should implement IDXPopupMenuHolder interface","ListEditor должен реализовывать интерфейс IDXPopupMenuHolder","Localization\Exceptions\SystemExceptions\ListEditorShouldImplement",
"Value","The '{0}' method should be used","Должен быть использован метод '{0}'","Localization\Exceptions\SystemExceptions\MethodShouldBeUsed",
"Value","Modules has already been loaded","Модули уже загружены","Localization\Exceptions\SystemExceptions\ModulesHasAlreadyBeenLoaded",
"Value","Names and values collections should have equal lengths","Коллекции имен и значений должны иметь одинаковую длину","Localization\Exceptions\SystemExceptions\NameAndValueCollectionsShouldHaveEqualLengths",
"Value","The '{0}' node contains two child nodes with the '{1}' value in the key attribute. \r\n  Node1: '{2}'\r\n  Node2: '{3}'","Узел '{0}' содержит 2 дочерних узла со значением '{1}' в ключевом атрибуте.\r\n Node1: '{2}'\r\n Node2: '{3}'","Localization\Exceptions\SystemExceptions\NodeContainsDuplicatedChildNodes",
"Value","The '{0}' node was not found","Узел '{0}' не найден","Localization\Exceptions\SystemExceptions\NodeWasNotFound",
"Value","The '{0}' read-only parameter is not registered in the ParametersFactory.","Нередактируемый параметр '{0}' не зарегистрирован в ParametersFactory.","Localization\Exceptions\SystemExceptions\NotRegisteredReadOnlyParameterException",
"Value","Object cannot be formatted because the specified format string is invalid: '{0}'","Объект не может быть отформатирован, так как указанная строка формата некорректна: '{0}'","Localization\Exceptions\SystemExceptions\ObjectFormatterFormatStringIsInvalid",
"Value","Page can only contain one instance of '{0}' control","Страница может содержать только один экземпляр элемента управления '{0}'","Localization\Exceptions\SystemExceptions\PageCanOnlyContainOneInstanceOfControl",
"Value","The criterion contains the '{0}' read-only parameter which conflicts with the '{0}' property of the '{1}' class. To refer to the read-only parameter, use the '@@{0}' syntax. To refer to the property, use the '@this.{0}' syntax.","Критерий содержит нередактируемый параметр '{0}', который конфликтует со свойством '{0}' класса '{1}'. Чтобы сослаться на этот параметр, используйте синтаксис '@@{0}'. Для ссылки на свойство, используйте синтаксис '@this.{0}'.","Localization\Exceptions\SystemExceptions\ParameterConflictsWithPropertyException",
